title,text,link,source
"Google Finance Integrates Polymarket, Kalshi Prediction Market Data",Google Finance will tap into prediction market data from Polymarket and Kalshi as the platform enhances its feature offering with AI.,https://decrypt.co/347619/google-finance-integrates-polymarket-kalshi-prediction-market-data?.tsrc=rss,News
Job cuts surge in worst October layoffs in 22 years. Here's why,"Employers slashed more than 150,000 jobs in October, the largest wave of layoffs in more than 20 years, Challenger, Gray & Christmas said.",https://www.usatoday.com/story/money/2025/11/06/october-job-cuts-surge-worst-layoffs/87127775007/?.tsrc=rss,News
"This Dancing Elephant Stomps All Magnificent 7 Stocks Except Google, Nvidia","Trouncing five of the seven Magnificent Seven members this year, top funds bet on IBM stock as it enters a new buy zone.",https://finance.yahoo.com/m/933cba75-9a24-33cc-b4ae-b55d69c1676d/this-dancing-elephant-stomps.html?.tsrc=rss,News
Tech stocks suffer fresh sell-off over AI bubble fears,Over $420bn (£320bn) was wiped off the value of the biggest seven US tech giants on Thursday afternoon as a fresh sell-off took hold.,https://www.telegraph.co.uk/business/2025/11/06/interest-rates-bank-of-england-uk-ftse-100-markets/?.tsrc=rss,News
‘Jenga Tower’ US Economy Teeters as Middle Class Pulls Back Spending,"This dichotomy between the haves and have-nots isn’t new, but the economic strain is now bleeding from the lowest earners to the middle class, creating an even starker divide that some economists say makes the economy more susceptible to a downturn.  The richest 10% of households are fueling nearly half of total US spending, thanks to a stock market surge that has boosted wealth and in turn propelled economic output this year.  Meanwhile, lower-income families are pulling back in the face of tight budgets, still-high living costs and a raft of corporate layoffs.",https://finance.yahoo.com/news/jenga-tower-us-economy-teeters-110000726.html?.tsrc=rss,News
REALTOR.ca Canada Inc. Appoints Scott Neil as Chief Executive Officer,"OTTAWA, Ontario, Nov. 06, 2025 (GLOBE NEWSWIRE) -- REALTOR.ca Canada Inc. is pleased to announce the appointment of Scott Neil as its new Chief Executive Officer, effective January 5, 2026. Neil is a seasoned executive with more than 20 years of experience leading digital marketplaces and media platforms across North America and Europe. Most recently, Neil served as CEO of Kijiji Canada, where he led a comprehensive restructuring of the business, modernized its operating model, and positioned th",https://finance.yahoo.com/news/realtor-ca-canada-inc-appoints-180000741.html?.tsrc=rss,News
"AI ETF Helps Roundhill Double in Size to $10 Billion. It’s ‘Only the Beginning,’ Says CEO.",Roundhill saw inflows of more than $5.5 billion this year. Its actively-managed AI ETF is up 56% this year.,https://finance.yahoo.com/m/246659a6-71df-3d9c-ab98-621f9a863f5e/ai-etf-helps-roundhill-double.html?.tsrc=rss,News
Apple could reboot Siri to finally please users,"Apple’s (AAPL) next major AI move could potentially come from an unlikely source: Google. According to Bloomberg, the iPhone maker is closing in on a deal worth nearly $1 billion per year to power Siri with Google’s Gemini AI, one of the more surprising collaborations in Big Tech history. For ...",https://www.thestreet.com/technology/apple-could-reboot-siri-to-finally-please-users?.tsrc=rss,News
"Exclusive-SAP to offer concessions to settle EU antitrust probe, stave off fine, sources say","BRUSSELS (Reuters) -SAP, Europe's largest software maker, is set to make a formal offer of concessions shortly to ​settle an EU antitrust investigation and stave off a possible hefty fine, people ‌with direct knowledge of the matter said.  The European Commission, which started an investigation into SAP's software practices in September, is expected to seek market feedback from rivals and customers in the coming weeks,⁠ the people said.",https://finance.yahoo.com/news/exclusive-sap-offer-concessions-settle-172903072.html?.tsrc=rss,News
Huawei Debuts Ultrathin iPhone Air Rival Priced at $590,"The new Huawei Mate 70 Air measures 6.6mm thick and costs 4,199 yuan ($590), significantly undercutting the $999 iPhone Air on price but failing to match its extreme thinness.  Apple introduced the Air branding to its smartphone lineup for the first time with the new phone launched alongside its iPhone 17 generation this fall — and Huawei is openly going against it by adopting the same moniker.  China’s smartphone makers have shown a greater willingness to confront Apple this year.",https://finance.yahoo.com/news/huawei-debuts-ultrathin-iphone-air-172332614.html?.tsrc=rss,News
Apple Inc,"Apple reported Q2 revenue of $117B, down 5% YoY. Strong performance in services and wearables segments.",,Filing
Microsoft Corp,"Microsoft cloud revenue grew 24%, driven by Azure and Office 365 demand. Net income rose 12%.",,Filing
Alphabet Inc,Google parent Alphabet posted advertising revenue of $58.9B with growth in YouTube and Cloud.,,Filing
